Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	13.0	1279.0	blue	0.37	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1171.0	blue	0.39	[0,1]	lose	risk	norm	left	f
Learning	15.0	922.0	blue	0.39	[0,1]	lose	risk	norm	left	f
Learning	1.0	1795.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	2046.0	blue	0.39	[0,1]	win	Amb	norm	right	f
Learning	3.0	741.0	blue	0.43	[0,1]	win	Amb	norm	right	f
Learning	4.0	703.0	blue	0.52	[0,1]	win	risk	norm	right	j
Learning	5.0	624.0	blue	0.49	[0,1]	win	risk	norm	right	j
Learning	6.0	685.0	blue	0.43	[0,1]	win	risk	norm	left	f
Learning	7.0	1072.0	blue	0.34	[0,1]	win	Amb	norm	left	j
Learning	8.0	1131.0	blue	0.38	[0,1]	win	Amb	norm	right	f
Learning	9.0	2896.0	blue	0.42	[0,1]	win	risk	norm	left	f
Learning	10.0	756.0	blue	0.4	[0,1]	win	Amb	norm	right	f
Learning	11.0	1315.0	blue	0.4	[0,1]	win	Amb	norm	left	j
Learning	12.0	987.0	blue	0.43	[0,1]	win	Amb	norm	right	f
Learning	13.0	841.0	blue	0.46	[0,1]	win	risk	norm	left	f
Learning	14.0	996.0	blue	0.45	[0,1]	win	risk	norm	left	f
Learning	15.0	1061.0	blue	0.43	[0,1]	win	risk	norm	left	f
