Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	14.0	539.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	15.0	780.0	green	0.43	[0,1]	win	Amb	norm	left	j
Learning	1.0	1088.0	blue	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2.0	703.0	blue	0.61	[0,1]	lose	risk	norm	left	f
Learning	3.0	532.0	blue	0.54	[0,1]	lose	Amb	norm	right	f
Learning	4.0	713.0	blue	0.57	[0,1]	lose	Amb	norm	left	j
Learning	5.0	621.0	blue	0.61	[0,1]	lose	risk	norm	right	j
Learning	6.0	670.0	blue	0.58	[0,1]	lose	Amb	norm	left	j
Learning	7.0	839.0	blue	0.6	[0,1]	lose	risk	norm	right	j
Learning	8.0	649.0	blue	0.58	[0,1]	lose	Amb	norm	right	f
Learning	9.0	716.0	blue	0.58	[0,1]	lose	Amb	norm	right	f
Learning	10.0	547.0	blue	0.59	[0,1]	lose	Amb	norm	right	f
Learning	11.0	646.0	blue	0.6	[0,1]	lose	risk	norm	left	f
Learning	12.0	756.0	blue	0.6	[0,1]	lose	risk	norm	left	f
Learning	13.0	641.0	blue	0.58	[0,1]	lose	risk	norm	left	f
Learning	14.0	665.0	blue	0.55	[0,1]	lose	Amb	norm	left	j
Learning	15.0	611.0	blue	0.52	[0,1]	lose	Amb	norm	left	j
