Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645be394ac6c4819708b8d69,62c43f3dc521456f7320356f,APPROVED,2023-05-10T18:34:01.099000Z,2023-05-10T19:56:54.217000Z,2023-05-10T19:56:55.633000,2023-05-10T19:56:55.511329Z,4974,C1ISGV6W,267,English,32,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be3bc5c518c60aad00def,63150b2e1cfa995c03244696,APPROVED,2023-05-10T18:34:40.663000Z,2023-05-10T18:52:40.043000Z,2023-05-10T18:52:43.495000,2023-05-10T18:52:40.791583Z,1080,CJ5RNK30,1053,"Chinese, English",29,Male,Asian,United States,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
645be3c797d417a85441cddc,60045900ccb68e4bdd23111e,APPROVED,2023-05-10T18:34:53.124000Z,2023-05-10T18:57:24.466000Z,2023-05-10T18:57:32.804000,2023-05-10T18:57:29.566047Z,1352,CJ5RNK30,1476,English,52,Female,White,United States,United States,United States,English,No,Full-Time
645be3e189c55d22062099de,5de9938dad51830cad0ea9f9,APPROVED,2023-05-10T18:35:25.335000Z,2023-05-10T19:02:40.574000Z,2023-05-10T19:02:43.525000,2023-05-10T19:02:43.425340Z,1636,CJ5RNK30,135,English,26,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
645be406ce094102f28b8dba,615de65ccc6b16aac18a20d8,APPROVED,2023-05-10T18:35:54.404000Z,2023-05-10T18:58:26.860000Z,2023-05-10T18:58:28.840000,2023-05-10T18:58:28.680874Z,1353,C3E2LD8X,370,English,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be4223ba1d33bb36c1926,63ebbd7af1c80715178e5586,APPROVED,2023-05-10T18:36:27.855000Z,2023-05-10T19:17:03.034000Z,2023-05-10T19:17:05.875000,2023-05-10T19:17:05.746613Z,2436,CJ5RNK30,64,English,30,Male,White,United States,United States,United States,English,No,Full-Time
645be4451ad1e28ae1f7114a,63617d69f2a3425296c8d89e,APPROVED,2023-05-10T18:36:59.468000Z,2023-05-10T19:58:55.767000Z,2023-05-11T14:26:00.374000,2023-05-10T19:58:58.133740Z,4917,NOCODE,102,English,35,Male,Black,United States,United States,United States,English,Yes,Full-Time
645be44a3e0aa30e8c18e6f9,5e3360a4499e7932901951cb,APPROVED,2023-05-10T18:37:16.885000Z,2023-05-10T19:00:33.456000Z,2023-05-10T19:00:34.188000,2023-05-10T19:00:34.058767Z,1397,CJ5RNK30,717,English,37,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645be44bb0ed7d96e01998d8,63782709326973c77adc3db8,APPROVED,2023-05-10T18:37:08.331000Z,2023-05-10T19:11:27.150000Z,2023-05-10T19:11:31.867000,2023-05-10T19:11:31.763548Z,2059,C1ISGV6W,734,"English, Spanish",65,Female,White,United States,United States,United States,English,No,Part-Time
645be46581d10c12c7860b80,6365ab361b71daa9f0eed7bd,APPROVED,2023-05-10T18:37:29.747000Z,2023-05-10T19:57:02.705000Z,2023-05-11T14:26:00.605000,2023-05-10T19:57:04.013877Z,4773,NOCODE,131,English,37,Male,Black,United States,United States,United States,English,Yes,Full-Time
645be476bb36d516dff328c2,5fa315662ca5b25d05ae8236,APPROVED,2023-05-10T18:37:49.559000Z,2023-05-10T19:01:52.823000Z,2023-05-10T19:01:59.451000,2023-05-10T19:01:54.310944Z,1444,CJ5RNK30,918,English,51,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
