Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	14.0	684.0	red	0.54	[0,1]	win	Amb	norm	left	j
Learning	15.0	630.0	red	0.56	[0,1]	win	Amb	norm	left	j
Learning	1.0	1892.0	red	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2.0	1404.0	red	0.57	[0,1]	lose	risk	norm	left	f
Learning	3.0	1005.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	4.0	801.0	red	0.42	[0,1]	lose	Amb	norm	right	f
Learning	5.0	605.0	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	6.0	819.0	red	0.53	[0,1]	lose	Amb	norm	left	j
Learning	7.0	790.0	red	0.63	[0,1]	lose	risk	norm	right	j
Learning	8.0	869.0	red	0.57	[0,1]	lose	Amb	norm	left	j
Learning	9.0	647.0	red	0.6	[0,1]	lose	risk	norm	right	j
Learning	10.0	434.0	red	0.58	[0,1]	lose	risk	norm	left	f
Learning	11.0	714.0	red	0.54	[0,1]	lose	risk	norm	left	f
Learning	12.0	683.0	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	13.0	656.0	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1248.0	red	0.49	[0,1]	lose	Amb	norm	right	f
Learning	15.0	658.0	red	0.5	[0,1]	lose	Amb	norm	left	j
