Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	13.0	1615.0	blue	0.4	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1274.0	blue	0.42	[0,1]	lose	Amb	norm	right	f
Learning	15.0	1512.0	blue	0.43	[0,1]	lose	risk	norm	left	f
Learning	1.0	3007.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	1805.0	red	0.41	[0,1]	lose	Amb	norm	left	j
Learning	3.0	1087.0	red	0.45	[0,1]	lose	risk	norm	left	f
Learning	4.0	1564.0	red	0.4	[0,1]	lose	risk	norm	left	f
Learning	5.0	1394.0	red	0.35	[0,1]	lose	Amb	norm	right	f
Learning	6.0	2116.0	red	0.35	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1129.0	red	0.35	[0,1]	lose	risk	norm	right	j
Learning	8.0	665.0	red	0.32	[0,1]	lose	risk	norm	right	j
Learning	9.0	3128.0	red	0.29	[0,1]	lose	Amb	norm	left	j
Learning	10.0	1868.0	red	0.31	[0,1]	lose	Amb	norm	right	f
Learning	11.0	2935.0	red	0.34	[0,1]	lose	risk	norm	left	f
Learning	12.0	3302.0	red	0.31	[0,1]	lose	Amb	norm	left	j
Learning	13.0	1051.0	red	0.28	[0,1]	lose	Amb	norm	right	f
Learning	14.0	1575.0	red	0.31	[0,1]	lose	Amb	norm	left	j
Learning	15.0	1429.0	red	0.32	[0,1]	lose	Amb	norm	left	j
