Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	14.0	846.0	blue	0.53	[0,1]	win	Amb	norm	left	j
Learning	15.0	594.0	blue	0.53	[0,1]	win	Amb	norm	left	j
Learning	1.0	1206.0	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	1178.0	blue	0.39	[0,1]	lose	Amb	norm	left	j
Learning	3.0	1022.0	blue	0.46	[0,1]	lose	Amb	norm	right	f
Learning	4.0	1089.0	blue	0.51	[0,1]	lose	risk	norm	right	j
Learning	5.0	726.0	blue	0.45	[0,1]	lose	Amb	norm	right	f
Learning	6.0	771.0	blue	0.49	[0,1]	lose	Amb	norm	right	f
Learning	7.0	967.0	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	8.0	940.0	blue	0.52	[0,1]	lose	risk	norm	left	f
Learning	9.0	855.0	blue	0.51	[0,1]	lose	risk	norm	right	j
Learning	10.0	907.0	blue	0.48	[0,1]	lose	Amb	norm	right	f
Learning	11.0	948.0	blue	0.48	[0,1]	lose	Amb	norm	left	j
Learning	12.0	996.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	13.0	707.0	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	14.0	752.0	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	15.0	836.0	blue	0.48	[0,1]	lose	Amb	norm	right	f
