Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	14.0	770.0	green	0.46	[0,1]	win	Amb	norm	right	f
Learning	15.0	581.0	green	0.51	[0,1]	win	risk	norm	right	j
Learning	1.0	1053.0	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	2.0	1.0	blue	0.39	[0,1]	win	Amb	norm	right	f
Learning	3.0	309.0	blue	0.41	[0,1]	win	risk	norm	left	f
Learning	4.0	428.0	blue	0.38	[0,1]	win	Amb	norm	right	f
Learning	5.0	178.0	blue	0.39	[0,1]	win	risk	norm	left	f
Learning	6.0	1028.0	blue	0.39	[0,1]	win	Amb	norm	right	f
Learning	7.0	1.0	blue	0.39	[0,1]	win	Amb	norm	right	f
Learning	8.0	115.0	blue	0.41	[0,1]	win	risk	norm	left	f
Learning	9.0	112.0	blue	0.4	[0,1]	win	Amb	norm	right	f
Learning	10.0	738.0	blue	0.37	[0,1]	win	Amb	norm	right	f
Learning	11.0	697.0	blue	0.38	[0,1]	win	Amb	norm	left	j
Learning	12.0	527.0	blue	0.39	[0,1]	win	Amb	norm	left	j
Learning	13.0	580.0	blue	0.38	[0,1]	win	Amb	norm	right	f
Learning	14.0	525.0	blue	0.38	[0,1]	win	Amb	norm	right	f
Learning	15.0	538.0	blue	0.4	[0,1]	win	Amb	norm	right	f
