Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	14.0	537.0	blue	0.0	[0,1]	lose	risk	norm	right	j
Learning	15.0	763.0	blue	0.0	[0,1]	lose	Amb	norm	left	j
Learning	1.0	967.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	680.0	green	0.41	[0,1]	lose	risk	norm	right	j
Learning	3.0	2829.0	green	0.26	[0,1]	lose	Amb	norm	left	j
Learning	4.0	962.0	green	0.34	[0,1]	lose	Amb	norm	left	j
Learning	5.0	1000.0	green	0.45	[0,1]	lose	Amb	norm	left	j
Learning	6.0	858.0	green	0.63	[0,1]	lose	risk	norm	right	j
Learning	7.0	2242.0	green	0.56	[0,1]	lose	risk	norm	right	j
Learning	8.0	1933.0	green	0.44	[0,1]	lose	risk	norm	right	j
Learning	9.0	557.0	green	0.25	[0,1]	lose	Amb	norm	right	f
Learning	10.0	979.0	green	0.36	[0,1]	lose	risk	norm	left	f
Learning	11.0	663.0	green	0.29	[0,1]	lose	risk	norm	left	f
Learning	12.0	568.0	green	0.22	[0,1]	lose	risk	norm	left	f
Learning	13.0	1082.0	green	0.12	[0,1]	lose	risk	norm	right	j
Learning	14.0	1216.0	green	0.0	[0,1]	lose	Amb	norm	right	f
Learning	15.0	2906.0	green	0.07	[0,1]	lose	risk	norm	right	j
